LINE_START_NAME,LINE_END_NAME
Железничка станица Панчевачки мост,Кнежевац
Бањица 2,Звездара
Земун /Нови град/,Блок 44
Бирчанинова,Железничка станица Ресник
Устаничка,Баново брдо
Миријево,Стари Железник
Зелени Венац,Петлово брдо
Звездара 2,Бежанијска коса   
Коњарник,Калуђерица
Нови Београд /Блок 45/ ,Нова Пазова
Бањица 2,Земун /Нови Град/ 
Баново брдо,Борча 3
Земун /Кеј Ослобођења/,Нови Железник
Видиковац,Нови Београд /Блок 72/ 
Борча ,Нови Београд /Блок 45/
Омладински Стадион,Падинска Скела
Омладински Стадион,Рева /Дубока Бара/
Вуков споменик,Велико село
Трг Славија,Бегаљица
Трг Славија,Глумчево брдо
Адмирала Гепрата,Велика Моштаница
Адмирала Гепрата,Прогар
Нови Београд (Павиљони),Бусије
Адмирала Гепрата,Петровчић
Test Start 9,Test End 9
Омладински стадион,Господарска механа
Савска (окретница),Кнежевац
ДОРЋОЛ /СРЦ Милан Мушкатирови,ВУКОВ СПОМЕНИК 
Вуков споменик,Устаничка
Омладински стадион,Блок 45
Омладински стадион,Бањица
Бањица 2,СРЦ „Милан Мушкатировић“
Ташмајдан,Блок 45
Омладински стадион,Блок 45
Баново брдо,Блок 45
Омладински стадион,Бањица
Трг Републике,Карабурма 2
ГО Нови Београд,Трг Ослобођења
Трг Славија,Коњарник
Устаничка,Велики Mокри луг
Трг Славија,Учитељско насеље
Студенски трг,Трг Славија
Неимар,Трг Славија
Миријево 4,Кумодраж /Степина кућа/
Нови Београд (Блок 20),Миријево 4
Студентски трг,Звездара
Палата ,Медаковић 3
Палата ,Коњарник
Трг Републике,Вишњица
Топчидерска звезда,Пере Велимировића
Омладински стадион/улаз/,Лешће /гробље/
Савски трг,Кнежевац
Погон Космај,Мостар
Звездара,Бањица
Студентски трг,Бањица 
ЖС Панчевачки мост,Котеж
Топчидерско брдо (Сењак),Вилине воде (Темпо)
Главна железничка станица,Звездара
Устаничка,Медаковић 3
Зелени Венац,Чукаричка Падина
Савски трг,Нови Железник
Омладински стадион,Научно-технолошки парк Звездар
Блок 45,Аеродром Никола Тесла
ГО Нови Београд,Бежанијска коса
Звездара /пијаца/,Бежанијска Коса/Болница/
Дорћол /СРЦ Милан Гале Мушкатировић/,Звездара (пијаца)
Нови Београд/Павиљони/,Алтина1
Нови Београд /Похорска/,Нови Београд /Похорска/
Савски трг,Земун /Бачка/
Борча 3,Дунав станица
ЖС Панчевачки мост,Борча 3
Падинска Скела,Борча
Борча 3,Овча /Железничка Станица/
Јабучки Рит,Борча 3
Омладински Стадион,Дунавац
Блок Браће Марић,Блок Браће Марић
Падинска Скела,Чента
Устаничка,Заклопача 
Шумице  ,МЗ Велики Мокри луг
Славија /Бирчанинова/,Пиносава (3.НОВА)
Глумчево брдо,Глумчео брдо
Вождовац,Бели поток /железничка станиц/
Бањица 2,Ресник /Железничка Станица/ 
Миљаковац 1,Миљаковачке стазе
Главна Железничка Станица,Сремчица/Насеље Горица/
Баново Брдо,Сремчица /Насеље Горица/
Бежанија/Ледине/,Добановци (пумпа)
Сурчин ,Прека Калдрма
Нови Београд /Блок 45/,Јаково
Устаничка,Лештане
Бусије/Црква/,Угриновци
Земун /Кеј осл. /Батајн. /Ж С/,Батајница/Железничка станица/
Земун /Кеј Ослобођења/,Аеродром Батајница
Нови Београд /Блок 70А/ ,Железничка ст. /Земун Поље/
Земун /Нови Град/,Железничка ст. „Земун поље“
ДОРЋОЛ /СРЦ Милан Мушкатирови,УСТАНИЧКА
Бањица 2,Блок 20
Прогар,Јаково
Nontrip Service,Nontrip Service
Устаничка,Милутина Миланковића
Пристаниште,Господарска механа
Омладински стадион,Железничка станица „Топчидер“
Kaлемегдан /Беко/,Стара окретница /Булевар/
Омладински стадион,Устаничка
Устаничка,Блок 20
Бањица,Булевар Милутина Миланковића
Трг Славија,Бањица 
