DISPLAY_ROUTE_CODE,ROUTE_CODE,LINE_START_NAME,LINE_END_NAME
4407,60199,Сопот (Дрлупа),Сибница
4407A,60200,Сопот (Дрлупа-Слатина),Сибница
4408,60201,Сопот (Тресије),Рогача (Мала ћуприја)
4408A,60202,Сопот (Тресије),Рогача (Окретница)
4409,60203,Сопот (Дрлупа-Слатина),Барајево
4409A,60204,Сопот (Дучина-Слатина),Барајево
4410,60205,Сопот (Ђуринци),Младеновац
4411,60206,Сопот,Ђуринци
4412,60207,Младеновац(Бакчина-Неменикуће),Сопот
T4413,60208,Сопот (М.Иванча-М. Пожаревац),Младеновац
4414,60209,Сопот (М.Иванча-М. Пожаревац),Сенаја
44141,60210,Сопот (М.Иванча),Мали Пожаревац
4415,60211,Сопот (Станојевац-М.Пожаревац),Сенаја
4415A,60213,Сопот,Мали Пожаревац
4425,60214,Сопот (Дрлупа-Сибница),Барајево
4426,60215,Сопот (Дрлупа),Барајево
4427,60216,Барајево (Сибница),Сопот
4428,60217,Сопот (Дрлупа-Слатина),Барајево
4428A,60218,Сопот (Дучина-Слатина),Барајево
4432,60219,Сопот,Бабе
4433,60220,Сопот,Стојник
4434,60221,Сопот (Губеревац-Стојник),Сопот
4435,60222,Сопот,Губеревац
351,60223,Шумице,Дражањ (Гроцка)
352,60224,Шумице,Дражањ (Аутопутем)
353,60225,Дражањ (Живковац),Шумице(Аутопутем)
354,60226,Шумице(Врчин-Заклопача-Гроцка),Камендо
354A,60227,Шумице(Врчин-Заклопача-Гроцка),Живковац
354b,60228,Шумице (Врчин-Заклопача),Гроцка
355A,60229,Шумице (Живковац),Дражањ
355,60230,Шумице ,Дражањ
356,60231,Шумице (Гроцка-Брестовик),Пударци
361,60232,Шумице,Живковац (преко Гроцке)
361B,60233,Шумице (Живковац),Дражањ
361A,60234,Шумице (Камендо),Живковац
362,60235,Живковац,Шумице (Аутопутем)
3333,60236,Живковац,Шумице (Преко Гроцке)
363,60237,Шумице (Преко Гроцке),Живковац
366,60238,Шумице (аутопутем),Камендол
366A,60239,Камендо,Шумице (аутопутем)
450,60240,Београд,Сопот (Авалски пут)
451,60241,Београд,Стојник
460,60242,Београд,М. Иванча (Аутопутем)
460A,60243,Београд,М. Иванча (Аутопутем)
461,60244,Шумице (Равнице),Врчин
462,60245,Шумице (Врчин),Врчин (Авалски пут)
463,60246,Шумице (Врчин-Јаричиште),Рамнице
463A,60247,Шумице (Врчин-Јаричиште),Рамнице
464,60248,Сопот (М. Поповић-М.Пожаревац), Београд (аутопутем)
465,60249,Сопот (Станојевац), Београд (аутопутем)
4651,60250,Сопот (Станојевац), Београд (аутопутем)
T4652,60251,Сопот (Станојевац-Славија), Београд (аутопутем)
466,60252,Београд (Јаричиште),Врчин Центар 
468,60253,Београд (Врчин Центар),Гроцка
470,60254,Београд,М. Иванча (Авалским путем )
470A,60255,Београд,М. Иванча (Авалским путем )
474,60256,Београд,Парцани 
491,60257,Београд,Младеновац
491A,60258,Београд,Младеновац
493,60260,Београд, Младеновац ( Аутопутем )
493a,60261,Београд, Младеновац ( Аутопутем )
494,60262,Младеновац (Сенаја),Београд
494A,60263,Младеновац(М.Пожаревац-Сенаја), Београд
499,60264,Младеновац, Београд
560,60265,Баново Брдо,Барајево
560A,60266,Баново Брдо (Сремчица),Барајево
560E,60267,Београд АС,Барајево
561,60268,Барајево,Баново Брдо
561A,60269,Барајево,Баново Брдо
581,60270,Београд,Лазаревац
581A,60271,Београд,Лазаревац (Дом Здравља)
581E,60272,Београд (Експрес),Лазаревац
583,60273,Београд,Трбушница
583A,60274,Београд,Крушевица
585,60275,Београд,Миросаљци (Гуњевац)
586,60276,Баново Брдо,Термоелектарана
588,60277,Београд,Миросаљци 
591,60278,Баново Брдо (Вранић),Тараиш
591A,60279,Баново Брдо,Рашића Крај
592,60280,Баново Брдо,Дражевац
593,60281,Баново Брдо (Мељак),Тараиш
593A,60282,Баново Брдо,Рашића крај
593b,60283,Баново Брдо,Шиљаковац
860,60284,БАС,Обреновац 
860E,60285,БАС,Обреновац 
861A,60286,Обреновац ,БАС
865,60288,Баново Брдо,Велика Моштаница
4414A,60289,Сопот (М.Иванча-М. Пожаревац),Београд
5570,60290,Барајево (Баћевац-Вранић...),Обреновац 
116,60291,Лазаревац,Степојевац
923b,60292,Обреновац,Скела
961,60293,Обреновац,Пироман - Центар
961A,60294,Пироман,Обреновац
975A,60295,Обреновац (Орашац),Вукићевица
975B,60296,Вукићевица,Обреновац
4413,60297,Сопот (М.Иванча-М. Пожаревац),Сопот
5524,60298,Барајево,Гунцати
5528,60299,Барајево,Шиљаковац
4199D,60300,Градска 5 (Трстена) ,Минел
4404c,60301,Сопот (Слатина),Сибница
4407D,60302,Сопот (Слатина-Манић),Сибница
904,60303,АС Обреновац ,Сурчин 
165A,60304,Дрен школа,Лазаревац
4199A,60305,Градска 5 (Ул. Николе Пашића),Трстена
4199B,60306,Градска 5 (Границе) ,Пијац
4199C,60307,Градска 5 (Општина),Границе
4406B,60308,Сопот (АС),Сибница (Окретница)
4402B,60309,Сопот (АС),Стојник (окретница)
4191B,60310,Младеновац (ул.Николе Пашића),Младеновац (Прогрес)
44331,60311,Сопот,Стојник
4123A,60312,Марошевац,Младеновац
4113A,60313,Глишићи,Младеновац
451A,60314,Стојник,Београд
44332,60315,Сопот (Стојник - Дучина),Стојник
4404D,60316,Сопот (Слатина Trafo),Сибница
466A,60317,Београд,Врчин Центар
5533v,60318,Барајево АС (С.Крај-Липовица),Барајево
4112A,60319,Рабровац (Шуме),Младеновац
41022,60320,Велика Крсна (окретница),Младеновац
4406C,60321,Сопот (Рогача преки пут-Дрлупа,Сибница
4164L,60322,Космај - Тресије,Сопот
860M,60323,БАС-Индустр. зона Барич,Обреновац
860L,60324,Обреновац (Степојевац),Лазаревац
860B,60325,БАС,М.Моштан. - Инд. зона 
860S,60326,БАС,Степојевац
860A,60327,БАС,БАРИЧ /АМБУЛАНТА/
860BL,60328,Индустријска зона ,АС Лазаревац
860D,60329,БАС,Дражевац
860V,60330,Баново брдо,Баљевац (Ибарска магистрала)
860P,60331,Баново брдо,Пољане (Доњи крај)
860J,60332,БАС,Јасенак (пуж)
860T,60333,Индустријска зона ,Вукићевица
4121B,60334,Младеновац ,Јагњило(Бељаковићи)
860U,60335,Индустријска зона ,Ушће (окретница)
860I,60336,БАС,Индустријска зона 
120,60337,ЖС Лазаревац,АС Лазаревац
5519,60338,Барајево,Баћевац (Барајево)
350,60350,Живковац,Живковац
351A,60351,Шумице,Дражањ (Гроцка)
352A,60352,Шумице,Дражањ
4113V,60353,Младеновац,Глишићи
355B,60355,Шумице ,Дражањ
365,60365,Гроцка,Младеновац
4402C,60389,Сопот (Парцани-Бабе-Стојник),Стојник
4444,60390,Сопот-Сења-Ђуринци,Ропочево
4112B,60391,Младеновац ,Рабровац ( Марошевац - Шуме)
4113B,60392,Глишићи,Младеновац
4123B,60393,Младеновац,Шуме
465A,60465, Београд (аутопутем),Сопот (Станојевац)
467,60467,Врчин (Авалски пут),Врчин (Авалски пут)
493B,60493,Београд, Младеновац ( Аутопутем )
580,60580,Београд,Лазаревац (преко Ибарске)
ML 1,60801,Општина Младеновац,КЦС
ML 2,60802,Општина Младеновац,КБЦ Звездара
ML 3,60803,Општина Младеновац,КБЦ Земун
ML 4,60804,Општина Младеновац,КБЦ Бежанијска Коса
ML 5,60805,Општина Младеновац,КБЦ Драгиша Мишовић
SO 1,60806,Општина Сопот,КЦС
SO 2,60807,Општина Сопот,КБЦ Звездара
SO 3,60808,Општина Сопот,КБЦ Земун
SO 4,60809,Општина Сопот,КБЦ Бежанијска Коса
SO 5,60810,Општина Сопот,КБЦ Драгиша Мишовић
BA 1,60811,Општина Барајево,КЦС
BA 2,60812,Општина Барајево ,КБЦ Звездара
BA 3,60813,Општина Барајево,КБЦ Земун
BA 4,60814,Општина Барајево,КБЦ Бежанијска Коса
BA 5,60815,Општина Барајево,КБЦ Драгиша Мишовић
LA 1,60816,Општина Лазаревац,КЦС
LA 2,60817,Општина Лазаревац,КБЦ Звездара
LA 3,60818,Општина Лазаревац,КБЦ Земун
LA 4,60819,Општина Лазаревац,КБЦ Бежанијска Коса
LA 5,60820,Општина Лазаревац,КБЦ Драгиша Мишовић
SU 1,60821,Општина Сурчин,КЦС
SU 2,60822,Општина Сурчин,КБЦ Звездара
SU 3,60823,Општина Сурчин,КБЦ Земун
SU 4,60824,Општина Сурчин,КБЦ Бежанијска Коса
SU 5,60825,Општина Сурчин,КБЦ Драгиша Мишовић
OB 1,60826,Општина Обреновац,КЦС
OB 2,60827,Општина Обреновац,КБЦ Звездара
OB 3,60828,Општина Обреновац,КБЦ Земун
OB 4,60829,Општина Обреновац,КБЦ Бежанијска Коса
OB 5,60830,Општина Обреновац,КБЦ Драгиша Мишовић
GR 1A,60831,Дражањ (центар),КЦС
GR 2,60832,Дражањ (центар),КБЦ Звездара
GR 3,60833,Дражањ (центар),КБЦ Земун
GR 4,60834,Дражањ (центар),КБЦ Бежанијска коса
GR 5,60835,Дражањ (центар),КБЦ Драгиша Мишовић
GR 1B,60836,Дражањ (центар),КЦС
GR 1V,60837,Живковац,КЦС
ML 6,60838,Општина Младеновац,Зелени венац 
SO 6,60839,Општина Сопот,Зелени венац
BA 6,60840,Општина Барајево,Зелени венац
LA 6,60841,Општина Лазаревац,Зелени венац
SU 6,60842,Општина Сурчин,Зелени венац
OB 6,60843,Општина Обреновац,Зелени венац
GR 6,60844,Дражањ (центар),Зелени венац
BA 7,60845,ДЗ Барајево,Зелени венац
LA 7,60846,ДЗ Лазаревац,Зелени венац
913A,60913,Аутобаза,Обреновац
914,60914,Обреновац,Аутобаза
4121A,61142,Младеновац,Јагњило (Бељаковићи)
977A,61977,Обреновац АС - Грабовац,Вукићевица
E1,90001,Устаничка,Блок 45
E2,90002,Петлово брдо,Трг републике
E6,90003,Миријево 4,Нови Београд /Блок 45/
E9,90004,Кумодраж,Студентски трг
A1,90005,Трг Славија,Аеродром 
